GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Employee In-House Marketplace,com.inhouse.marketplace.config,CorsConfig,0,60,0,0,0,11,0,3,0,3
Employee In-House Marketplace,com.inhouse.marketplace,MarketplaceApplication,5,3,0,0,2,1,1,1,1,1
Employee In-House Marketplace,com.inhouse.marketplace.exception,ForbiddenOperationException,0,4,0,0,0,2,0,1,0,1
Employee In-House Marketplace,com.inhouse.marketplace.exception,GlobalExceptionHandler.ErrorResponse,0,15,0,0,0,1,0,1,0,1
Employee In-House Marketplace,com.inhouse.marketplace.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
Employee In-House Marketplace,com.inhouse.marketplace.exception,GlobalExceptionHandler,24,68,0,2,4,12,2,6,2,5
Employee In-House Marketplace,com.inhouse.marketplace.exception,ResourceNotFoundException,4,6,0,0,2,2,1,1,1,1
Employee In-House Marketplace,com.inhouse.marketplace.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
Employee In-House Marketplace,com.inhouse.marketplace.controller,ResourceController,16,6,2,0,3,1,2,1,1,1
Employee In-House Marketplace,com.inhouse.marketplace.controller,ProposalController,24,14,0,0,5,2,4,2,4,2
Employee In-House Marketplace,com.inhouse.marketplace.controller,RequirementController,28,21,4,0,5,4,5,3,3,3
Employee In-House Marketplace,com.inhouse.marketplace.controller,OfferController,26,23,2,2,5,4,5,3,3,3
Employee In-House Marketplace,com.inhouse.marketplace.controller,EmployeeController,36,48,0,2,6,8,6,6,6,5
Employee In-House Marketplace,com.inhouse.marketplace.controller,UserController,100,0,6,0,25,0,10,0,7,0
Employee In-House Marketplace,com.inhouse.marketplace.service.impl,RequirementServiceImpl,40,64,8,4,8,12,7,7,1,7
Employee In-House Marketplace,com.inhouse.marketplace.service.impl,ResourceServiceImpl,0,39,0,8,0,9,0,7,0,3
Employee In-House Marketplace,com.inhouse.marketplace.service.impl,UserServiceImpl,128,110,11,7,23,21,10,10,4,7
Employee In-House Marketplace,com.inhouse.marketplace.service.impl,ProposalServiceImpl,38,77,3,3,5,14,5,6,2,6
Employee In-House Marketplace,com.inhouse.marketplace.service.impl,OfferServiceImpl,36,71,8,4,7,14,6,8,0,8
Employee In-House Marketplace,com.inhouse.marketplace.service.impl,EmployeeServiceImpl,44,204,6,6,2,34,10,13,4,13
Employee In-House Marketplace,com.inhouse.marketplace.entity,Offer.OfferBuilder,19,15,0,0,0,1,2,3,2,3
Employee In-House Marketplace,com.inhouse.marketplace.entity,Requirement.RequirementBuilder,19,15,0,0,0,1,2,3,2,3
Employee In-House Marketplace,com.inhouse.marketplace.entity,Resource.ResourceBuilder,24,45,0,0,0,1,2,8,2,8
Employee In-House Marketplace,com.inhouse.marketplace.entity,Employee.EmployeeBuilder,12,42,0,0,0,1,1,7,1,7
Employee In-House Marketplace,com.inhouse.marketplace.entity,Requirement.RequirementBuilderImpl,0,7,0,0,0,1,0,2,0,2
Employee In-House Marketplace,com.inhouse.marketplace.entity,Offer.OfferBuilderImpl,0,7,0,0,0,1,0,2,0,2
Employee In-House Marketplace,com.inhouse.marketplace.entity,Employee,180,60,40,0,0,9,24,13,4,13
Employee In-House Marketplace,com.inhouse.marketplace.entity,User,98,30,22,0,0,6,15,7,4,7
Employee In-House Marketplace,com.inhouse.marketplace.entity,Proposal.ProposalBuilder,18,63,0,0,0,1,1,10,1,10
Employee In-House Marketplace,com.inhouse.marketplace.entity,Requirement,113,49,21,1,2,6,17,9,6,9
Employee In-House Marketplace,com.inhouse.marketplace.entity,Resource,302,97,58,2,1,12,35,19,6,18
Employee In-House Marketplace,com.inhouse.marketplace.entity,Proposal,225,90,46,0,0,12,27,19,4,19
Employee In-House Marketplace,com.inhouse.marketplace.entity,Offer,113,49,21,1,2,6,17,9,6,9
Employee In-House Marketplace,com.inhouse.marketplace.entity,User.UserBuilder,6,21,0,0,0,1,1,4,1,4
